seed,episode,policy,return_value
231,16,learned_model,286.0
231,17,reference,183.0
231,17,learned_model,183.0
231,18,reference,120.0
231,18,learned_model,120.0
231,19,reference,184.0
231,19,learned_model,184.0
242,0,reference,114.0
242,0,learned_model,114.0
242,1,reference,90.0
242,1,learned_model,90.0
242,2,reference,196.0
242,2,learned_model,196.0
242,3,reference,119.0
242,3,learned_model,119.0
242,4,reference,72.0
242,4,learned_model,72.0
242,5,reference,120.0
242,5,learned_model,122.0
242,6,reference,218.0
242,6,learned_model,218.0
242,7,reference,206.0
242,7,learned_model,206.0
242,8,reference,244.0
242,8,learned_model,242.0
242,9,reference,206.0
242,9,learned_model,206.0
242,10,reference,86.0
242,10,learned_model,86.0
242,11,reference,70.0
242,11,learned_model,70.0
242,12,reference,228.0
242,12,learned_model,228.0
242,13,reference,180.0
242,13,learned_model,180.0
242,14,reference,70.0
242,14,learned_model,70.0
242,15,reference,350.0
242,15,learned_model,349.0
242,16,reference,89.0
242,16,learned_model,89.0
242,17,reference,120.0
242,17,learned_model,120.0
242,18,reference,62.0
242,18,learned_model,62.0
242,19,reference,276.0
242,19,learned_model,276.0
253,0,reference,294.0
253,0,learned_model,294.0
253,1,reference,317.0
253,1,learned_model,317.0
253,2,reference,282.0
253,2,learned_model,284.0
253,3,reference,239.0
253,3,learned_model,265.0
253,4,reference,242.0
253,4,learned_model,248.0
253,5,reference,112.0
253,5,learned_model,118.0
253,6,reference,157.0
253,6,learned_model,182.0
253,7,reference,170.0
253,7,learned_model,170.0
253,8,reference,382.0
253,8,learned_model,390.0
253,9,reference,182.0
253,9,learned_model,182.0
253,10,reference,192.0
253,10,learned_model,194.0
253,11,reference,74.0
253,11,learned_model,74.0
253,12,reference,226.0
253,12,learned_model,242.0
253,13,reference,177.0
253,13,learned_model,179.0
253,14,reference,130.0
253,14,learned_model,130.0
253,15,reference,95.0
253,15,learned_model,97.0
253,16,reference,280.0
253,16,learned_model,287.0
253,17,reference,68.0
253,17,learned_model,68.0
253,18,reference,284.0
253,18,learned_model,285.0
253,19,reference,71.0
253,19,learned_model,83.0
264,0,reference,266.0
264,0,learned_model,264.0
264,1,reference,315.0
264,1,learned_model,311.0
264,2,reference,208.0
264,2,learned_model,208.0
264,3,reference,72.0
264,3,learned_model,69.0
264,4,reference,136.0
264,4,learned_model,131.0
264,5,reference,198.0
264,5,learned_model,200.0
264,6,reference,108.0
264,6,learned_model,103.0
264,7,reference,214.0
264,7,learned_model,212.0
264,8,reference,78.0
264,8,learned_model,78.0
264,9,reference,185.0
264,9,learned_model,179.0
264,10,reference,268.0
264,10,learned_model,265.0
264,11,reference,217.0
264,11,learned_model,213.0
264,12,reference,117.0
264,12,learned_model,115.0
264,13,reference,162.0
264,13,learned_model,162.0
264,14,reference,116.0
264,14,learned_model,118.0
264,15,reference,102.0
264,15,learned_model,97.0
264,16,reference,80.0
264,16,learned_model,77.0
264,17,reference,320.0
264,17,learned_model,178.0
264,18,reference,74.0
264,18,learned_model,71.0
264,19,reference,230.0
264,19,learned_model,224.0
275,0,reference,247.0
275,0,learned_model,248.0
275,1,reference,126.0
275,1,learned_model,125.0
275,2,reference,178.0
275,2,learned_model,178.0
275,3,reference,75.0
275,3,learned_model,75.0
275,4,reference,152.0
275,4,learned_model,152.0
275,5,reference,134.0
275,5,learned_model,134.0
275,6,reference,100.0
275,6,learned_model,100.0
275,7,reference,231.0
275,7,learned_model,231.0
275,8,reference,76.0
275,8,learned_model,76.0
275,9,reference,102.0
275,9,learned_model,102.0
275,10,reference,122.0
275,10,learned_model,122.0
275,11,reference,174.0
275,11,learned_model,177.0
275,12,reference,148.0
275,12,learned_model,148.0
275,13,reference,216.0
275,13,learned_model,216.0
275,14,reference,74.0
275,14,learned_model,74.0
275,15,reference,70.0
275,15,learned_model,72.0
275,16,reference,82.0
275,16,learned_model,82.0
275,17,reference,124.0
275,17,learned_model,122.0
275,18,reference,114.0
275,18,learned_model,114.0
275,19,reference,92.0
275,19,learned_model,94.0
286,0,reference,84.0
286,0,learned_model,86.0
286,1,reference,118.0
286,1,learned_model,118.0
286,2,reference,85.0
286,2,learned_model,83.0
286,3,reference,180.0
286,3,learned_model,176.0
286,4,reference,71.0
286,4,learned_model,76.0
286,5,reference,206.0
286,5,learned_model,206.0
286,6,reference,84.0
286,6,learned_model,84.0
286,7,reference,70.0
286,7,learned_model,69.0
286,8,reference,195.0
286,8,learned_model,195.0
286,9,reference,76.0
286,9,learned_model,76.0
286,10,reference,150.0
286,10,learned_model,148.0
286,11,reference,214.0
286,11,learned_model,213.0
286,12,reference,122.0
286,12,learned_model,122.0
286,13,reference,248.0
286,13,learned_model,248.0
286,14,reference,87.0
286,14,learned_model,84.0
286,15,reference,200.0
286,15,learned_model,200.0
286,16,reference,285.0
286,16,learned_model,285.0
286,17,reference,106.0
286,17,learned_model,105.0
286,18,reference,90.0
286,18,learned_model,90.0
286,19,reference,74.0
286,19,learned_model,73.0
297,0,reference,72.0
297,0,learned_model,72.0
297,1,reference,120.0
297,1,learned_model,120.0
297,2,reference,192.0
297,2,learned_model,192.0
297,3,reference,76.0
297,3,learned_model,76.0
297,4,reference,258.0
297,4,learned_model,258.0
297,5,reference,108.0
297,5,learned_model,105.0
297,6,reference,105.0
297,6,learned_model,105.0
297,7,reference,147.0
297,7,learned_model,144.0
297,8,reference,304.0
297,8,learned_model,188.0
297,9,reference,74.0
297,9,learned_model,72.0
297,10,reference,248.0
297,10,learned_model,246.0
297,11,reference,112.0
297,11,learned_model,112.0
297,12,reference,78.0
297,12,learned_model,76.0
297,13,reference,187.0
297,13,learned_model,187.0
297,14,reference,218.0
297,14,learned_model,213.0
