seed,algorithm,noise_level,real_steps,planning_updates,greedy_return,optimal_return,policy_loss
11,Dyna-Q,0.15,3100,15500,1.016552229835378,6.263607903500317,5.2470556736649385
11,Dyna-Q,0.15,3200,16000,5.8758114013271365,6.263607903500317,0.3877965021731802
11,Dyna-Q,0.15,3300,16500,5.998271598209182,6.263607903500317,0.26533630529113506
11,Dyna-Q,0.15,3400,17000,6.233980616524453,6.263607903500317,0.02962728697586403
11,Dyna-Q,0.15,3500,17500,3.120923398850895,6.263607903500317,3.142684504649422
11,Dyna-Q,0.15,3600,18000,3.0372922341765873,6.263607903500317,3.2263156693237294
11,Dyna-Q,0.15,3700,18500,3.0411939657349905,6.263607903500317,3.2224139377653263
11,Dyna-Q,0.15,3800,19000,4.728755136692455,6.263607903500317,1.5348527668078615
11,Dyna-Q,0.15,3900,19500,2.597972573511332,6.263607903500317,3.6656353299889846
11,Dyna-Q,0.15,4000,20000,5.962070596919114,6.263607903500317,0.3015373065812028
11,Dyna-Q,0.15,4100,20500,3.049667735242042,6.263607903500317,3.213940168258275
11,Dyna-Q,0.15,4200,21000,3.289753277241662,6.263607903500317,2.9738546262586545
11,Dyna-Q,0.15,4300,21500,6.2254116253703256,6.263607903500317,0.03819627812999116
11,Dyna-Q,0.15,4400,22000,6.1831086627684435,6.263607903500317,0.0804992407318732
11,Dyna-Q,0.15,4500,22500,6.211806779627448,6.263607903500317,0.051801123872868615
11,Dyna-Q,0.15,4600,23000,2.481666925399549,6.263607903500317,3.7819409781007676
11,Dyna-Q,0.15,4700,23500,2.6175882052597657,6.263607903500317,3.646019698240551
11,Dyna-Q,0.15,4800,24000,-1.9543800286456463,6.263607903500317,8.217987932145963
11,Dyna-Q,0.15,4900,24500,0.6856381300761438,6.263607903500317,5.577969773424173
11,Dyna-Q,0.15,5000,25000,5.877371945129074,6.263607903500317,0.3862359583712429
11,Dyna-Q,0.35,0,0,-2.0000000000000013,6.263607903500317,8.263607903500318
11,Dyna-Q,0.35,100,500,2.3670986402049503,6.263607903500317,3.8965092632953664
11,Dyna-Q,0.35,200,1000,-1.8392478497290348,6.263607903500317,8.10285575322935
11,Dyna-Q,0.35,300,1500,2.6653783034884615,6.263607903500317,3.598229600011855
11,Dyna-Q,0.35,400,2000,2.7999050000259964,6.263607903500317,3.4637029034743203
11,Dyna-Q,0.35,500,2500,5.971480829523902,6.263607903500317,0.292127073976415
11,Dyna-Q,0.35,600,3000,5.928235904823649,6.263607903500317,0.3353719986766679
11,Dyna-Q,0.35,700,3500,2.4434016976253687,6.263607903500317,3.820206205874948
11,Dyna-Q,0.35,800,4000,6.221523382931744,6.263607903500317,0.04208452056857315
11,Dyna-Q,0.35,900,4500,5.871671305596088,6.263607903500317,0.39193659790422863
11,Dyna-Q,0.35,1000,5000,-0.6605611119699517,6.263607903500317,6.924169015470269
11,Dyna-Q,0.35,1100,5500,5.7723102039894085,6.263607903500317,0.4912976995109082
11,Dyna-Q,0.35,1200,6000,6.252698803146877,6.263607903500317,0.01090910035344006
11,Dyna-Q,0.35,1300,6500,3.137617186164074,6.263607903500317,3.1259907173362427
11,Dyna-Q,0.35,1400,7000,6.073234981515036,6.263607903500317,0.190372921985281
11,Dyna-Q,0.35,1500,7500,5.59446109479278,6.263607903500317,0.669146808707537
11,Dyna-Q,0.35,1600,8000,1.5070247258785947,6.263607903500317,4.756583177621722
11,Dyna-Q,0.35,1700,8500,-1.2502581897155016,6.263607903500317,7.513866093215818
11,Dyna-Q,0.35,1800,9000,5.567857200290066,6.263607903500317,0.6957507032102503
11,Dyna-Q,0.35,1900,9500,2.642616061471695,6.263607903500317,3.6209918420286216
11,Dyna-Q,0.35,2000,10000,0.9798480687462775,6.263607903500317,5.283759834754039
11,Dyna-Q,0.35,2100,10500,0.8823562569044401,6.263607903500317,5.381251646595876
11,Dyna-Q,0.35,2200,11000,1.01615376525741,6.263607903500317,5.247454138242906
11,Dyna-Q,0.35,2300,11500,-0.3043339527201892,6.263607903500317,6.567941856220506
11,Dyna-Q,0.35,2400,12000,6.211806779627448,6.263607903500317,0.051801123872868615
11,Dyna-Q,0.35,2500,12500,2.806283797256111,6.263607903500317,3.4573241062442057
11,Dyna-Q,0.35,2600,13000,5.849092118126111,6.263607903500317,0.4145157853742054
11,Dyna-Q,0.35,2700,13500,2.659723521793418,6.263607903500317,3.603884381706899
11,Dyna-Q,0.35,2800,14000,3.158025857635295,6.263607903500317,3.1055820458650216
11,Dyna-Q,0.35,2900,14500,-1.3068672065774611,6.263607903500317,7.570475110077778
11,Dyna-Q,0.35,3000,15000,5.383004609261168,6.263607903500317,0.8806032942391484
11,Dyna-Q,0.35,3100,15500,2.4516496530814504,6.263607903500317,3.8119582504188663
11,Dyna-Q,0.35,3200,16000,6.003878015889222,6.263607903500317,0.25972988761109495
11,Dyna-Q,0.35,3300,16500,2.9374978091009307,6.263607903500317,3.326110094399386
11,Dyna-Q,0.35,3400,17000,4.701961615038735,6.263607903500317,1.5616462884615814
11,Dyna-Q,0.35,3500,17500,5.5067883263567,6.263607903500317,0.7568195771436166
11,Dyna-Q,0.35,3600,18000,1.214243916090713,6.263607903500317,5.0493639874096035
11,Dyna-Q,0.35,3700,18500,2.9646629781587053,6.263607903500317,3.2989449253416114
11,Dyna-Q,0.35,3800,19000,5.864349352577823,6.263607903500317,0.39925855092249396
11,Dyna-Q,0.35,3900,19500,6.22272458098214,6.263607903500317,0.04088332251817661
11,Dyna-Q,0.35,4000,20000,0.2804853099009684,6.263607903500317,5.983122593599348
11,Dyna-Q,0.35,4100,20500,5.284830554077577,6.263607903500317,0.9787773494227396
11,Dyna-Q,0.35,4200,21000,2.822121525165779,6.263607903500317,3.4414863783345377
11,Dyna-Q,0.35,4300,21500,3.1595641501918377,6.263607903500317,3.104043753308479
11,Dyna-Q,0.35,4400,22000,5.4604930547785955,6.263607903500317,0.8031148487217212
11,Dyna-Q,0.35,4500,22500,2.3706985586485265,6.263607903500317,3.89290934485179
11,Dyna-Q,0.35,4600,23000,2.50614577855584,6.263607903500317,3.757462124944477
11,Dyna-Q,0.35,4700,23500,6.211806779627448,6.263607903500317,0.051801123872868615
11,Dyna-Q,0.35,4800,24000,2.667707643737435,6.263607903500317,3.5959002597628817
