seed,epoch,n_transitions,mse
44,27,600,3.2435428130683197e-06
44,28,600,3.0554924430697087e-06
44,29,600,2.782452588689921e-06
44,30,600,2.664993272255264e-06
44,31,600,2.4957940474067935e-06
44,32,600,2.3458557076370008e-06
44,33,600,2.1722776870391456e-06
44,34,600,2.0633364640257476e-06
44,35,600,1.9248270734207933e-06
44,36,600,1.8264790882264938e-06
44,37,600,1.7230670036233753e-06
44,38,600,1.6169936675157117e-06
44,39,600,1.568321819807974e-06
44,40,600,1.4900396422490302e-06
44,41,600,1.371538847275875e-06
44,42,600,1.3413613122506113e-06
44,43,600,1.2669091102237106e-06
44,44,600,1.2129605947489165e-06
44,45,600,1.1221293424281804e-06
44,46,600,1.05908786197592e-06
44,47,600,1.0156016434106469e-06
44,48,600,9.68647711225027e-07
44,49,600,9.310448463470255e-07
44,50,600,9.033002018704315e-07
44,51,600,8.802197451012417e-07
44,52,600,8.417734013739009e-07
44,53,600,8.201538165801474e-07
44,54,600,7.770439134147684e-07
44,55,600,7.355425235812762e-07
44,56,600,7.481474471516872e-07
44,57,600,7.330567789746344e-07
44,58,600,7.138491605174798e-07
44,59,600,6.872356873612405e-07
44,60,600,6.53022470343881e-07
44,61,600,6.318040838574521e-07
44,62,600,6.092813940109697e-07
44,63,600,5.870176712625452e-07
44,64,600,5.89383609987013e-07
44,65,600,5.920853996748951e-07
44,66,600,5.725487025493318e-07
44,67,600,5.393484656224246e-07
44,68,600,5.281162256515497e-07
44,69,600,5.079878524096976e-07
44,70,600,4.908740285265211e-07
44,71,600,4.891352383059424e-07
44,72,600,4.834298042205295e-07
44,73,600,4.830732900760075e-07
44,74,600,4.644166496422929e-07
44,75,600,4.4252487155840997e-07
44,76,600,4.243824973496215e-07
44,77,600,4.2231363444874374e-07
44,78,600,4.164456005116192e-07
44,79,600,4.306337522645041e-07
44,80,600,3.909207774050198e-07
44,81,600,3.972665273235371e-07
44,82,600,4.00491097782139e-07
44,83,600,3.70581980596877e-07
44,84,600,3.592234987225215e-07
44,85,600,3.541600334169983e-07
44,86,600,3.552290410736628e-07
44,87,600,3.565247863578311e-07
44,88,600,3.528087873405639e-07
44,89,600,3.3867273340379857e-07
44,90,600,3.2903988399443493e-07
44,91,600,3.258458522886462e-07
44,92,600,3.265309664949487e-07
44,93,600,3.24210135641136e-07
44,94,600,3.165040869577607e-07
44,95,600,3.130531001117657e-07
44,96,600,3.0719575438285434e-07
44,97,600,3.06211638109002e-07
44,98,600,2.7633206633780846e-07
44,99,600,2.7517089784779323e-07
44,100,600,2.900597576770356e-07
44,101,600,2.88896322854869e-07
44,102,600,2.803006567905629e-07
44,103,600,2.7717178880948267e-07
44,104,600,2.7581543864279844e-07
44,105,600,2.6431607955445495e-07
44,106,600,2.5998793989258143e-07
44,107,600,2.609244201099308e-07
44,108,600,2.615319458168655e-07
44,109,600,2.531012976185977e-07
44,110,600,2.479034846876522e-07
44,111,600,2.569019385807798e-07
44,112,600,2.417688640913471e-07
44,113,600,2.3517142183568228e-07
44,114,600,2.293463370655876e-07
44,115,600,2.3366570683504652e-07
44,116,600,2.338988928996562e-07
44,117,600,2.367102713139358e-07
44,118,600,2.3773039355558608e-07
44,119,600,2.3430201602985493e-07
55,0,600,0.020461650675554808
55,1,600,0.0022543680857205275
55,2,600,0.00034040050668409093
55,3,600,0.000113014473831036
55,4,600,6.313166455871204e-05
55,5,600,4.320490205779942e-05
55,6,600,3.3027730100193844e-05
55,7,600,2.541681082412221e-05
55,8,600,2.1183430626000414e-05
55,9,600,1.756820117263583e-05
55,10,600,1.515973193531145e-05
55,11,600,1.3112022842458254e-05
55,12,600,1.1434138057091717e-05
55,13,600,1.0090314854575187e-05
55,14,600,8.857102016248209e-06
55,15,600,7.86648897940866e-06
55,16,600,7.10241666686335e-06
55,17,600,6.164980251062508e-06
55,18,600,5.659959577697966e-06
55,19,600,5.160095011696716e-06
55,20,600,4.622558416437977e-06
55,21,600,4.339159939167746e-06
55,22,600,3.947976656012254e-06
55,23,600,3.58953840005645e-06
55,24,600,3.3781364005622696e-06
55,25,600,3.1284606788367937e-06
55,26,600,2.9153725371974073e-06
55,27,600,2.7344280540905613e-06
55,28,600,2.543324845455094e-06
55,29,600,2.4112320919524982e-06
55,30,600,2.2513719290815827e-06
55,31,600,2.1210133833224778e-06
55,32,600,2.0004468003782297e-06
55,33,600,1.857573854642013e-06
55,34,600,1.7492121855866573e-06
55,35,600,1.6398100198880696e-06
55,36,600,1.6223571277039713e-06
55,37,600,1.5049924124803894e-06
55,38,600,1.4482563875916593e-06
55,39,600,1.4503993354178659e-06
55,40,600,1.3360763384633555e-06
55,41,600,1.2464028857625397e-06
55,42,600,1.2348533884601478e-06
55,43,600,1.1346749416636731e-06
55,44,600,1.0729851857448872e-06
55,45,600,1.0510137383933302e-06
55,46,600,9.579002021621959e-07
55,47,600,9.343535979448798e-07
55,48,600,8.972514407153206e-07
55,49,600,8.550507710711634e-07
55,50,600,8.329391804588675e-07
55,51,600,7.843789854919841e-07
55,52,600,8.126222747992679e-07
55,53,600,7.726527919179429e-07
55,54,600,7.433447562657659e-07
55,55,600,6.934965001978286e-07
55,56,600,6.825902516993666e-07
55,57,600,6.40638483230903e-07
55,58,600,6.174324090879007e-07
55,59,600,5.999354548772604e-07
55,60,600,5.913777691172359e-07
55,61,600,5.673649650960119e-07
55,62,600,5.459925378808723e-07
55,63,600,5.665505912738331e-07
55,64,600,5.360775674034813e-07
55,65,600,5.120854899886533e-07
55,66,600,5.133978796242158e-07
55,67,600,4.767476166546802e-07
55,68,600,4.966280704665176e-07
55,69,600,4.897297072291526e-07
55,70,600,4.546437996790892e-07
55,71,600,4.4515961824823813e-07
55,72,600,4.413791901326572e-07
55,73,600,4.2968641734755933e-07
55,74,600,4.1833417867565005e-07
55,75,600,4.119378581591311e-07
55,76,600,3.7650733618552054e-07
55,77,600,3.731495344015313e-07
55,78,600,3.866041810708434e-07
55,79,600,3.50625192655379e-07
55,80,600,3.5111516886469245e-07
55,81,600,3.472833177990029e-07
55,82,600,3.433047036076843e-07
55,83,600,3.323962352241276e-07
55,84,600,3.1594271227301137e-07
55,85,600,3.166478559310953e-07
55,86,600,3.232159321286369e-07
55,87,600,3.112049658906663e-07
55,88,600,2.960513743675476e-07
55,89,600,2.953309759552786e-07
55,90,600,3.058399914236457e-07
55,91,600,2.933063634121649e-07
55,92,600,2.938044589559228e-07
55,93,600,2.8798028599914306e-07
55,94,600,2.8216904626644557e-07
55,95,600,2.72028649225089e-07
55,96,600,2.697711063379565e-07
55,97,600,2.6346535279524116e-07
55,98,600,2.5295342694382847e-07
55,99,600,2.5717656147830177e-07
55,100,600,2.5970270971392416e-07
55,101,600,2.5538032589697413e-07
55,102,600,2.362567742938824e-07
55,103,600,2.4076244081446644e-07
55,104,600,2.3647428675806292e-07
55,105,600,2.5993704977473066e-07
55,106,600,2.4420641467845365e-07
55,107,600,2.3750485652092387e-07
55,108,600,2.44045339501865e-07
55,109,600,2.2643907906166003e-07
55,110,600,2.1587565718642795e-07
55,111,600,2.1956348348339818e-07
55,112,600,2.3843300214677676e-07
55,113,600,2.1943633657285416e-07
55,114,600,2.1641069848424435e-07
55,115,600,2.1495781443024353e-07
55,116,600,2.3018885787893706e-07
55,117,600,2.0027570757831292e-07
55,118,600,2.0974218535074166e-07
55,119,600,2.0390452008493745e-07
66,0,600,0.019153161981682244
66,1,600,0.0017030370663728956
66,2,600,0.00034194327178594996
66,3,600,0.00010737924082939956
66,4,600,6.421935232585957e-05
66,5,600,4.46096894704265e-05
66,6,600,3.401863541512284e-05
66,7,600,2.598959885003033e-05
66,8,600,2.000417809157577e-05
66,9,600,1.5931254203774425e-05
66,10,600,1.2979667520228661e-05
66,11,600,1.1002564001740353e-05
66,12,600,9.638063142789945e-06
66,13,600,8.593365158192587e-06
66,14,600,7.751993476439997e-06
66,15,600,7.028526990899608e-06
66,16,600,6.3198928369513985e-06
66,17,600,5.765248483600628e-06
66,18,600,5.369428067512528e-06
66,19,600,4.9373695530544205e-06
66,20,600,4.648580359475761e-06
66,21,600,4.339012726679931e-06
66,22,600,4.0957708829649305e-06
66,23,600,3.924122328451057e-06
66,24,600,3.6950220144143183e-06
66,25,600,3.4567680586405916e-06
66,26,600,3.2971224359961954e-06
66,27,600,3.166417255478767e-06
66,28,600,3.0511764323723343e-06
66,29,600,2.8678178248236165e-06
66,30,600,2.6974824645788576e-06
66,31,600,2.5938828948231897e-06
66,32,600,2.5169286525277512e-06
66,33,600,2.355062686451435e-06
66,34,600,2.1840070195666107e-06
66,35,600,2.08874406194139e-06
66,36,600,1.9951251236929436e-06
66,37,600,1.9249317413021725e-06
66,38,600,1.8679439772552685e-06
66,39,600,1.8136378852623718e-06
66,40,600,1.6964496891983128e-06
66,41,600,1.6072165593820833e-06
66,42,600,1.5074942720466903e-06
66,43,600,1.5526434894079436e-06
66,44,600,1.4641615405851457e-06
66,45,600,1.392263937448565e-06
66,46,600,1.2986724174736182e-06
66,47,600,1.288938905250497e-06
66,48,600,1.2118609585118783e-06
66,49,600,1.201595323676118e-06
66,50,600,1.140238461965438e-06
66,51,600,1.0787547912633798e-06
66,52,600,1.036976860440949e-06
66,53,600,1.0275320810729966e-06
66,54,600,9.490919634763964e-07
66,55,600,9.12811997834165e-07
66,56,600,9.329079585098187e-07
66,57,600,8.775056220369343e-07
66,58,600,7.986402151441564e-07
66,59,600,7.780271965585645e-07
66,60,600,7.605479783921366e-07
66,61,600,7.635063588239925e-07
66,62,600,7.493391074986951e-07
66,63,600,6.97465310993625e-07
66,64,600,6.731314291647849e-07
66,65,600,6.524206232944906e-07
66,66,600,6.464441759434473e-07
66,67,600,6.423999138860381e-07
66,68,600,6.085329681282977e-07
66,69,600,5.821549594106488e-07
66,70,600,5.821190188127825e-07
66,71,600,5.870823758270586e-07
66,72,600,5.494117106620347e-07
66,73,600,5.406076124209474e-07
66,74,600,5.137338601307898e-07
66,75,600,4.992012550605737e-07
66,76,600,4.803430408329451e-07
66,77,600,4.644960874226232e-07
66,78,600,4.776784928588696e-07
66,79,600,4.6313697294552094e-07
66,80,600,4.805768089442465e-07
66,81,600,4.43171063879115e-07
66,82,600,4.3716798179622476e-07
66,83,600,4.1027614148142194e-07
66,84,600,3.9891299410866943e-07
66,85,600,3.9150457681850976e-07
66,86,600,3.991964993139463e-07
66,87,600,4.0413029101895713e-07
66,88,600,3.973421150093552e-07
66,89,600,3.681531717048576e-07
66,90,600,3.467812216752607e-07
66,91,600,3.5634756563084874e-07
66,92,600,3.4295923451341687e-07
66,93,600,3.3012570354099135e-07
66,94,600,3.3265868839443537e-07
66,95,600,3.112442964505279e-07
66,96,600,3.2570222265648174e-07
66,97,600,3.1277606899792726e-07
66,98,600,3.056577470099335e-07
66,99,600,3.0878622591277045e-07
66,100,600,2.9052592846088184e-07
66,101,600,2.87962377180855e-07
66,102,600,2.908226644954563e-07
66,103,600,2.9464134628728733e-07
66,104,600,3.040107264502311e-07
66,105,600,2.920966044197676e-07
66,106,600,2.9419031327985353e-07
66,107,600,2.994610703784642e-07
66,108,600,2.670999820290825e-07
66,109,600,2.572474623494408e-07
66,110,600,2.531518964887207e-07
66,111,600,2.476146997758789e-07
66,112,600,2.6630442150869717e-07
66,113,600,2.7915789494751435e-07
66,114,600,2.3778992275119413e-07
66,115,600,2.2378948644149875e-07
66,116,600,2.3822982050684286e-07
66,117,600,2.4549190346521615e-07
66,118,600,2.3996599248963133e-07
66,119,600,2.3187466614385093e-07
77,0,600,0.016527044220741742
77,1,600,0.001544596894420561
77,2,600,0.0002419306587207278
77,3,600,6.796200809491749e-05
77,4,600,3.0495050094415143e-05
77,5,600,2.023822286757518e-05
77,6,600,1.5686821614891463e-05
77,7,600,1.2987190491817036e-05
77,8,600,1.085186451363322e-05
77,9,600,9.398325279394876e-06
77,10,600,8.285898179325924e-06
77,11,600,7.390128786554621e-06
77,12,600,6.648620211834848e-06
77,13,600,6.085289446912755e-06
77,14,600,5.540754536444806e-06
77,15,600,5.022931066521682e-06
77,16,600,4.577654865562706e-06
77,17,600,4.209149883057475e-06
77,18,600,3.844322788226189e-06
77,19,600,3.5935313654159763e-06
77,20,600,3.295627454080156e-06
77,21,600,3.152648871132681e-06
